Symbol_1,date,environmentalScore,socialScore,governanceScore,ESGScore
055550.KS,,,,,
SIAL,,,,,
SRCM.BO,,,,,
SIE.DE,,,,,
SIK.SW,,,,,
2325.TW,,,,,
SHI.L,,,,,
SPG,2024-09-30,48.39,53.61,51.63,51.21
017670.KS,,,,,
SKAB.ST,,,,,
SNC.TO,,,,,
SN.L,,,,,
SRG.MI,,,,,
SKG.L,,,,,
SOLB.BR,,,,,
GLE.PA,,,,,
SW.PA,,,,,
SWVK.DE,,,,,
SOLARB.CO,,,,,
010950.KS,,,,,
MEL.MC,,,,,
SON.LS,,,,,
SNC.LS,,,,,
6758.T,,,,,
SOON.SW,,,,,
8630.T,,,,,
LUV,2024-12-31,65.7,56.61,72.49,64.93
SE,2024-09-30,63.66,98.44,77.19,79.76
S,2024-10-31,78.01,57.33,67.73,67.69
SDY.L,,,,,
SL/.L,,,,,
STAN.L,,,,,
STJ.L,,,,,
SGC.L,,,,,
SBK.JO,,,,,
SBUX,2024-12-29,70.23,70.71,72.11,71.02
HOT,2016-06-30,57.25,73.82,71.23,67.43
SPLS,2017-07-29,60.19,76.7,70.21,69.03
SWK,2024-09-28,62.55,59.89,65.61,62.69
STN.TO,,,,,
STT,2024-12-31,72.72,72.66,65.76,70.38
SGP.AX,,,,,
STLT.BO,,,,,
SCS,2024-11-22,71.17,68.25,72.48,70.63
